timestamp,userID,actionType,result
2026-04-29T03:15:16.898Z,UC-0001,LOGIN,Customer login
2026-04-29T03:21:12.207Z,UC-0001,WALLET_TOPUP,Deposited Rs.5
2026-04-29T03:21:14.017Z,UC-0001,WALLET_TOPUP,Deposited Rs.5
2026-04-29T03:21:16.546Z,UC-0001,WALLET_TOPUP,Deposited Rs.5
2026-04-29T03:21:19.240Z,UC-0001,WALLET_TOPUP,Deposited Rs.25
2026-04-29T03:21:21.021Z,UC-0001,WALLET_TOPUP,Deposited Rs.25
2026-04-29T03:21:22.636Z,UC-0001,WALLET_TOPUP,Deposited Rs.25
2026-04-29T03:21:23.391Z,UC-0001,WALLET_TOPUP,Deposited Rs.25
2026-04-29T03:21:29.001Z,UC-0001,WALLET_TOPUP,Deposited Rs.100
2026-04-29T03:21:45.522Z,UC-0001,BOOKING_CREATE,Requested booking for Honda BRV for 5 days @ Rs.51
2026-04-29T04:03:44.746Z,UC-0001,LOGIN,Customer login
2026-04-29T04:19:35.208Z,UC-0001,LOGIN,Customer login
2026-04-29T04:19:53.663Z,UC-0001,LOGOUT,Customer signed out
2026-04-29T04:20:12.523Z,UL-0001,LOGIN,Lessor login
2026-04-29T04:21:41.609Z,UC-0001,LOGIN,Customer login
2026-04-29T04:24:25.978Z,UC-0001,LOGOUT,Customer signed out
2026-04-29T04:25:15.630Z,UA-0001,LOGIN,Admin login
2026-04-29T04:25:41.569Z,UA-0001,VEHICLE_VERIFY,Approved vehicle VC-0015
2026-04-29T07:25:57.950Z,UC-0001,LOGIN,Customer login
2026-04-29T08:12:06.006Z,UC-0001,LOGIN,Customer login
2026-04-29T08:16:51.347Z,UC-0001,LOGIN,Customer login
2026-04-29T08:20:37.899Z,UC-0001,WALLET_TOPUP,Deposited Rs.10
2026-04-29T08:24:41.184Z,UC-0001,BOOKING_CREATE,Requested booking for Honda Civic for 3 days @ Rs.25
2026-04-29T08:25:18.417Z,UL-0001,LOGIN,Lessor login
2026-04-29T08:36:10.109Z,UC-0001,LOGIN,Customer login
2026-04-29T08:36:30.034Z,UL-0001,LOGIN,Lessor login
2026-04-29T08:36:51.188Z,UC-0001,BOOKING_CREATE,Requested booking for Toyota Corolla for 3 days @ Rs.21
2026-04-29T08:47:38.933Z,UC-0001,LOGIN,Customer login
2026-04-29T08:48:08.555Z,UL-0001,LOGIN,Lessor login
2026-04-29T08:51:35.600Z,UL-0001,LOGIN,Lessor login
2026-04-29T09:02:19.797Z,UL-0001,LOGOUT,Lessor signed out
2026-04-29T09:02:26.822Z,UC-0001,LOGIN,Customer login
2026-04-29T09:06:41.258Z,UL-0001,LOGIN,Lessor login
2026-04-29T09:10:46.503Z,UL-0001,BOOKING_APPROVED,Approved booking B-0002
2026-04-29T09:10:46.514Z,UL-0001,RENTAL_APPROVED,Approved booking B-0002
2026-04-29T09:10:50.848Z,UL-0001,RENTAL_DECLINED,Declined booking B-0003
2026-04-29T09:12:46.019Z,UC-0001,LOGIN,Customer login
