35202-7878194-4,Imran Sana,LEB-1808,WBA486835858,EN113188,SUV,2021-03-15,Active
35202-6936365-5,Nida Kamran,LEB-5183,WBA286746549,EN916789,SUV,2025-05-15,Active
35202-3316481-4,Bilal Ayesha,LEB-7686,WBA873920071,EN439546,Hatchback,2025-01-15,Active
35202-1592095-1,Zainab Omar,LEB-9620,WBA244804046,EN530458,Sedan,2023-02-15,Active
35202-6524557-8,Saad Khadija,LEB-5114,WBA579351595,EN479963,Sedan,2024-01-15,Active
35202-9184943-3,Maryam Tariq,LEB-8501,WBA580446303,EN690636,Hatchback,2022-09-15,Active
35202-7878194-4,Imran Sana,LEB-7745,WBA341930282,EN763312,Hatchback,2025-05-15,Active
35202-6936365-5,Nida Kamran,LEB-4512,WBA471275895,EN821505,Sedan,2021-02-15,Active
35202-3316481-4,Bilal Ayesha,LEB-7958,WBA279370062,EN168396,Hatchback,2021-05-15,Active
35202-1592095-1,Zainab Omar,LEB-3480,WBA308469313,EN490705,SUV,2023-06-15,Active
35202-6524557-8,Saad Khadija,LEB-3402,WBA474027663,EN951912,Hatchback,2023-06-15,Active
35202-9184943-3,Maryam Tariq,LEB-8361,WBA550300908,EN190369,Sedan,2025-05-15,Active
35202-7878194-4,Imran Sana,LEB-3738,WBA465329675,EN909998,Hatchback,2023-03-15,Active
35202-6936365-5,Nida Kamran,LEB-2557,WBA120890990,EN825587,Hatchback,2021-05-15,Active
35202-3316481-4,Bilal Ayesha,LEB-5970,WBA486041029,EN400351,Sedan,2020-03-15,Active
35202-1592095-1,Zainab Omar,LEB-9701,WBA749363527,EN961611,SUV,2024-06-15,Active
35202-6524557-8,Saad Khadija,LEB-7823,WBA356989248,EN556918,SUV,2022-09-15,Active
35202-9184943-3,Maryam Tariq,LEB-2532,WBA787136624,EN833935,SUV,2021-05-15,Active
35202-7878194-4,Imran Sana,LEB-1996,WBA596020990,EN460988,SUV,2023-02-15,Active
35202-6936365-5,Nida Kamran,LEB-2956,WBA611593225,EN550837,SUV,2022-08-15,Active
